nome,apelido,numero,cidade,estado,sexo,idade,filiacao,graduacao
Carolina Machado,da-mataisaque,378,da Conceição Alegre,Rio Grande do Norte,M,59,Forneiro,Vermelha-branca
Noah Cardoso,aragaomarcelo,812,das Neves,Santa Catarina,M,68,Militar do Exército,Verde-roxa
Henrique Carvalho,dante98,417,Almeida Alegre,Distrito Federal,F,50,Salgadeira,Marrom
Dra. Isabela Sousa,natalia96,867,Pacheco,Rio de Janeiro,F,26,Engenheiro físico,Azul
Sr. Arthur Gabriel Jesus,sampaiofernando,235,Mendes,Roraima,F,19,Estampador de tecidos,Marrom-vermelha
Maria Julia Monteiro,elisa35,947,Cavalcanti de Vargas,Sergipe,F,21,Patinador,Roxa
Maria Sophia Almeida,zfarias,142,Vargas do Campo,Roraima,F,66,Conferente de recebimento,Roxa-marrom
Cecilia Aragão,lucas-gabriel72,815,Carvalho,Mato Grosso do Sul,F,51,Tradutor,Verde-roxa
Olivia Aparecida,diego32,920,Campos,Santa Catarina,M,33,Orçamentista,Marrom
Letícia Aparecida,rafaelmendonca,256,Montenegro do Amparo,Bahia,F,25,Chefe de cozinha,Laranja-azul
Léo Marques,luiz-otavio76,210,da Cruz,Sergipe,M,41,Técnico em segurança do trabalho,Verde
Amanda Porto,emanuelsa,227,Duarte,Mato Grosso,M,39,Salgadeira,Azul-verde
Maria Macedo,bmartins,220,Aragão das Pedras,Ceará,M,80,Profissional de cinema,Branca
Bernardo Pereira,ualves,489,Araújo,Ceará,M,33,Tecnólogo em negócios imobiliários,Vermelha
Diego Camargo,ksales,289,Porto,Rio Grande do Sul,M,56,Jornalista,Laranja
Isaque Nogueira,sarahnovais,279,Nascimento da Serra,Sergipe,M,77,Entalhador,Laranja-azul
Zoe Fonseca,henry72,110,da Costa,Bahia,M,84,Leiloeiro,Vermelha
Dr. Vitor Gabriel Caldeira,renan01,900,Moreira de Goiás,Rondônia,F,71,Embalsamador,Azul
Luiz Miguel Gonçalves,ramoscarolina,657,da Mata,Rio de Janeiro,F,35,Consultor de moda,Vermelha
Fernanda Gonçalves,dmachado,427,Duarte do Galho,Goiás,F,64,Técnico em edificações,Azul-verde
Dr. Carlos Eduardo Viana,ribeironina,139,Aragão,Pernambuco,M,88,Rebarbador de metal,Roxa
Oliver Barros,portoisis,141,Caldeira,São Paulo,M,76,Selecionador de pessoal,Branca
Anna Liz Santos,rrios,904,Guerra,Pernambuco,M,81,Cerimonialista,Roxa-marrom
João Miguel Farias,nicolepacheco,582,Cavalcanti da Serra,Amazonas,M,18,Sociólogo,Marrom-vermelha
Anna Liz Nogueira,portoana-sophia,760,da Paz,Mato Grosso do Sul,M,22,Moldureiro,Verde-roxa
Sra. Jade Andrade,bsales,446,Santos de Lima,Rio Grande do Norte,F,65,Contador,Azul
Davi Casa Grande,pintodavi-lucca,933,da Rosa,Paraíba,M,60,Tecnólogo em negócios imobiliários,Verde
Ana Liz Novais,rebecafernandes,154,Gonçalves Alegre,Pará,M,23,Inspetor,Vermelha
Sofia Caldeira,joaquimandrade,715,Pimenta do Oeste,Piauí,F,48,Panificador/Padeiro,Azul
Ester Azevedo,casa-grandedavi,191,Moraes de Castro,Ceará,F,18,Flautista,Verde
Bryan Pinto,dteixeira,566,Melo Alegre,Minas Gerais,F,83,Guincheiro,Verde
Marcos Vinicius da Rocha,marianasouza,82,Montenegro,Sergipe,F,27,Microfonista,Branca
Bento Moraes,jsa,813,Costa,São Paulo,F,85,Paisagista,Vermelha-branca
